,name,location,mobile_no,email,find_us,qualification,branch,career_issue,looking_for,technology,mode,time_slot,date,attended_by,no_persons,fee_details,year_of_pass_out,status,remarks,year,month
64,hidden,manjeri,hidden,hidden,social media,ug,other,no_career_issue,it internship,python,offline,morning,2020-09-07,lekha,3,60000,2017,not joined,joined other institude,2020,9
65,hidden,kozhikode,hidden,hidden,reference,ug,commerce,career gap,it internship,python,hybrid,evening,2020-06-09,monish,1,60000,2017,not joined,not impressed,2020,6
66,hidden,nilambur,hidden,hidden,social media,ug,other,no_career_issue,work experience,data science,hybrid,afternoon,2020-12-17,monish,3,60000,2015,joined,not impressed,2020,12
67,hidden,ernakulam,hidden,hidden,social media,ug,mechanical,career gap,it internship,python,offline,weekend,2020-07-27,baiju,2,35000,2016,not joined,suspected,2020,7
68,hidden,palakkad,hidden,hidden,social media,pg,computer science,career gap,work experience,data science,offline,weekend,2020-06-20,anupama,1,60000,2015,not joined,not interested,2020,6
69,hidden,farook,hidden,hidden,social media,pg,mechanical,no_career_issue,job oriented course,others,offline,morning,2020-05-18,baiju,5,12500,2020,not joined,not interested,2020,5
70,hidden,kondotty,hidden,hidden,google,ug,computer science,non it background,it internship,mern,offline,evening,2020-02-21,baiju,2,60000,2020,joined,not impressed,2020,2
71,hidden,kozhikode,hidden,hidden,social media,sslc,computer science,no_career_issue,it internship,data science,offline,weekend,2020-09-05,sandra,1,60000,2020,not joined,suspected,2020,9
72,hidden,ernakulam,hidden,hidden,social media,pg,other,career gap,others,python,offline,morning,2020-12-07,baiju,5,60000,2019,not joined,not impressed,2020,12
73,hidden,tanur,hidden,hidden,social media,ug,mechanical,career gap,job oriented course,data science,offline,evening,2020-04-09,baiju,1,60000,2015,not joined,not interested,2020,4
74,hidden,chevayur,hidden,hidden,social media,ug,commerce,no_career_issue,short term course,python,offline,weekend,2020-02-09,sandra,1,35000,2020,not joined,suspected,2020,2
75,hidden,ponnani,hidden,hidden,social media,ug,civil,backpapers,others,mern,offline,evening,2020-06-06,baiju,2,60000,2019,not joined,call not picking,2020,6
76,hidden,nadakkavu,hidden,hidden,social media,ug,civil,non it background,it internship,ai,offline,afternoon,2020-10-08,baiju,4,60000,2015,not joined,suspected,2020,10
77,hidden,westhill,hidden,hidden,social media,ug,mechanical,non it background,others,python,offline,morning,2020-01-11,baiju,2,12500,2016,not joined,not interested,2020,1
78,hidden,kozhikode,hidden,hidden,reference,ug,mechanical,no_career_issue,short term course,python,online,evening,2020-10-16,baiju,3,60000,2018,joined,not impressed,2020,10
79,hidden,kovoor,hidden,hidden,social media,ug,commerce,backpapers,others,mern,online,afternoon,2020-09-22,baiju,1,60000,2017,not joined,suspected,2020,9
80,hidden,malappuram,hidden,hidden,social media,ug,computer science,no_career_issue,others,data science,offline,morning,2020-06-14,monish,2,35000,2015,not joined,high fee,2020,6
81,hidden,tanur,hidden,hidden,others,sslc,commerce,no_career_issue,work experience,mern,offline,evening,2020-06-21,sandra,1,60000,2015,joined,not impressed,2020,6
82,hidden,malappuram,hidden,hidden,google,ug,computer science,backpapers,others,python,offline,afternoon,2020-05-15,baiju,3,35000,2018,not joined,joined other institude,2020,5
83,hidden,kozhikode,hidden,hidden,google,diploma,electronics,no_career_issue,it internship,python,online,morning,2020-10-25,rifna,1,60000,2015,not joined,not impressed,2020,10
84,hidden,ponnani,hidden,hidden,reference,pg,computer science,backpapers,it internship,python,offline,morning,2020-05-14,baiju,6,60000,2020,joined,not impressed,2020,5
85,hidden,ramanattukara,hidden,hidden,social media,ug,computer science,no_career_issue,others,python,hybrid,morning,2020-08-10,baiju,6,35000,2016,not joined,joined other institude,2020,8
86,hidden,kozhikode,hidden,hidden,google,pg,other,career gap,it internship,python,offline,evening,2020-01-12,faisal,2,60000,2020,not joined,not okay,2020,1
87,hidden,beypore,hidden,hidden,google,others,commerce,no_career_issue,short term course,data science,offline,morning,2020-02-20,baiju,1,60000,2016,not joined,suspected,2020,2
88,hidden,koyilandy,hidden,hidden,social media,ug,electronics,career gap,job oriented course,data science,offline,afternoon,2020-05-08,sivaprasad,1,60000,2019,not joined,not impressed,2020,5
89,hidden,malappuram,hidden,hidden,others,plus 2,civil,non it background,others,mern,offline,morning,2020-04-07,baiju,4,60000,2018,not joined,joined other institude,2020,4
90,hidden,manjeri,hidden,hidden,reference,pg,commerce,career gap,others,python,online,afternoon,2020-06-02,sandra,1,60000,2020,not joined,not okay,2020,6
91,hidden,westhill,hidden,hidden,others,ug,other,no_career_issue,others,mern,offline,morning,2020-05-02,rifna,1,35000,2015,not joined,not interested,2020,5
92,hidden,ramanattukara,hidden,hidden,social media,sslc,commerce,backpapers,job oriented course,mern,online,morning,2020-08-01,baiju,2,60000,2015,not joined,high fee,2020,8
93,hidden,chevayur,hidden,hidden,google,others,electronics,no_career_issue,short term course,mern,offline,morning,2020-01-05,baiju,1,60000,2016,joined,not impressed,2020,1
94,hidden,westhill,hidden,hidden,social media,ug,commerce,no_career_issue,job oriented course,mern,offline,afternoon,2020-03-06,baiju,1,60000,2019,joined,not impressed,2020,3
95,hidden,farook,hidden,hidden,social media,ug,other,no_career_issue,job oriented course,python,online,morning,2020-06-15,baiju,2,60000,2019,not joined,not okay,2020,6
96,hidden,ernakulam,hidden,hidden,social media,ug,mechanical,career gap,it internship,python,hybrid,afternoon,2020-08-23,monish,1,60000,2020,joined,not impressed,2020,8
97,hidden,chevayur,hidden,hidden,social media,diploma,computer science,backpapers,it internship,flutter,online,afternoon,2020-08-26,sandra,4,60000,2020,not joined,not interested,2020,8
98,hidden,koyilandy,hidden,hidden,social media,pg,computer science,no_career_issue,it internship,mern,online,afternoon,2020-10-18,anupama,1,60000,2015,not joined,call not picking,2020,10
99,hidden,kozhikode,hidden,hidden,google,pg,mechanical,non it background,it internship,mern,hybrid,afternoon,2020-06-06,sivaprasad,1,35000,2018,not joined,not impressed,2020,6
100,hidden,kondotty,hidden,hidden,social media,ug,other,non it background,work experience,mern,hybrid,morning,2020-07-12,faisal,1,60000,2018,not joined,suspected,2020,7
101,hidden,chevayur,hidden,hidden,social media,ug,civil,no_career_issue,work experience,ai,offline,afternoon,2020-04-13,baiju,2,35000,2019,not joined,not interested,2020,4
102,hidden,palazhi,hidden,hidden,social media,ug,computer science,career gap,job oriented course,ai,offline,morning,2020-06-07,lekha,1,60000,2017,not joined,not impressed,2020,6
103,hidden,manjeri,hidden,hidden,reference,pg,mechanical,no_career_issue,job oriented course,ai,offline,morning,2020-10-22,sandra,1,60000,2018,not joined,not okay,2020,10
104,hidden,kozhikode,hidden,hidden,social media,ug,computer science,non it background,job oriented course,mern,offline,morning,2020-02-04,baiju,1,35000,2017,not joined,joined other institude,2020,2
105,hidden,chaliyam,hidden,hidden,social media,ug,civil,career gap,job oriented course,mern,online,afternoon,2020-07-25,deepak,1,12500,2016,not joined,high fee,2020,7
106,hidden,nadakkavu,hidden,hidden,google,ug,computer science,no_career_issue,work experience,mern,online,morning,2020-04-14,lekha,2,12500,2019,not joined,high fee,2020,4
107,hidden,chevayur,hidden,hidden,social media,pg,electronics,career gap,it internship,others,offline,morning,2020-08-12,anupama,1,60000,2019,not joined,not okay,2020,8
108,hidden,kozhikode,hidden,hidden,social media,plus 2,computer science,no_career_issue,short term course,mern,offline,morning,2020-03-10,deepak,1,60000,2018,not joined,call not picking,2020,3
109,hidden,nadakkavu,hidden,hidden,reference,pg,civil,non it background,short term course,data science,offline,morning,2020-06-06,baiju,1,12500,2017,not joined,call not picking,2020,6
110,hidden,nadakkavu,hidden,hidden,social media,pg,other,backpapers,work experience,data science,offline,morning,2020-05-20,sivaprasad,1,60000,2019,not joined,suspected,2020,5
111,hidden,thrissur,hidden,hidden,reference,ug,computer science,no_career_issue,work experience,python,online,morning,2020-07-14,deepak,2,60000,2015,not joined,not impressed,2020,7
112,hidden,kozhikode,hidden,hidden,others,pg,electronics,career gap,it internship,java,online,morning,2020-12-14,sivaprasad,2,35000,2019,not joined,not interested,2020,12
113,hidden,nilambur,hidden,hidden,others,ug,other,no_career_issue,work experience,data science,online,morning,2020-03-13,baiju,3,60000,2016,not joined,high fee,2020,3
114,hidden,nadakkavu,hidden,hidden,social media,ug,civil,no_career_issue,work experience,python,online,afternoon,2020-01-24,rifna,1,35000,2018,not joined,not interested,2020,1
115,hidden,kottayam,hidden,hidden,social media,ug,other,career gap,work experience,mern,offline,evening,2020-08-06,sandra,3,60000,2020,joined,not impressed,2020,8
116,hidden,kozhikode,hidden,hidden,social media,others,mechanical,no_career_issue,others,python,offline,morning,2020-03-21,deepak,3,60000,2018,not joined,call not picking,2020,3
117,hidden,palakkad,hidden,hidden,social media,ug,electronics,backpapers,short term course,data science,hybrid,afternoon,2020-07-21,lekha,1,60000,2016,joined,not impressed,2020,7
118,hidden,medical college,hidden,hidden,social media,pg,civil,no_career_issue,job oriented course,python,hybrid,morning,2020-12-17,rifna,2,60000,2015,not joined,not okay,2020,12
119,hidden,kozhikode,hidden,hidden,reference,ug,civil,no_career_issue,it internship,data science,online,evening,2020-06-13,baiju,1,60000,2016,not joined,not okay,2020,6
120,hidden,nilambur,hidden,hidden,reference,ug,mechanical,no_career_issue,job oriented course,python,offline,morning,2020-05-15,baiju,3,60000,2016,not joined,not okay,2020,5
121,hidden,ramanattukara,hidden,hidden,google,ug,other,backpapers,job oriented course,java,offline,morning,2020-03-04,rifna,2,60000,2018,joined,not impressed,2020,3
122,hidden,nilambur,hidden,hidden,social media,ug,commerce,career gap,job oriented course,data science,hybrid,morning,2020-01-17,baiju,1,60000,2020,joined,not impressed,2020,1
123,hidden,trivandrum,hidden,hidden,others,pg,computer science,career gap,others,java,offline,evening,2020-12-26,sandra,3,60000,2018,joined,not impressed,2020,12
124,hidden,ernakulam,hidden,hidden,social media,ug,mechanical,no_career_issue,others,data science,hybrid,morning,2020-05-22,sivaprasad,3,60000,2019,joined,not impressed,2020,5
125,hidden,chaliyam,hidden,hidden,social media,ug,civil,no_career_issue,short term course,data science,online,morning,2020-09-01,sivaprasad,1,35000,2019,not joined,suspected,2020,9
126,hidden,medical college,hidden,hidden,social media,plus 2,other,career gap,work experience,data science,offline,afternoon,2020-02-10,anupama,3,60000,2018,not joined,call not picking,2020,2
127,hidden,chevayur,hidden,hidden,social media,ug,other,backpapers,others,python,offline,afternoon,2020-09-21,sandra,1,60000,2016,joined,not impressed,2020,9
128,hidden,westhill,hidden,hidden,social media,ug,electronics,non it background,short term course,mern,hybrid,afternoon,2020-06-08,monish,1,35000,2018,not joined,not interested,2020,6
129,hidden,manjeri,hidden,hidden,social media,ug,other,no_career_issue,others,data science,offline,morning,2020-06-18,lekha,2,60000,2019,joined,not impressed,2020,6
130,hidden,westhill,hidden,hidden,social media,ug,electronics,non it background,work experience,data science,offline,morning,2020-05-23,rifna,2,60000,2017,joined,not impressed,2020,5
131,hidden,tirur,hidden,hidden,social media,ug,electronics,no_career_issue,job oriented course,python,online,afternoon,2020-12-11,anupama,2,60000,2017,not joined,not impressed,2020,12
132,hidden,koyilandy,hidden,hidden,others,ug,computer science,no_career_issue,others,data science,online,morning,2020-11-26,faisal,4,60000,2015,joined,not impressed,2020,11
133,hidden,manjeri,hidden,hidden,social media,plus 2,computer science,no_career_issue,short term course,python,offline,morning,2020-01-14,baiju,3,60000,2016,joined,not impressed,2020,1
134,hidden,palakkad,hidden,hidden,social media,ug,electronics,no_career_issue,short term course,data science,offline,morning,2020-09-10,baiju,3,12500,2016,not joined,suspected,2020,9
135,hidden,chevayur,hidden,hidden,others,others,other,non it background,job oriented course,web designing,offline,evening,2020-07-07,baiju,1,35000,2019,not joined,not interested,2020,7
136,hidden,kannur,hidden,hidden,social media,ug,other,career gap,it internship,testing,offline,morning,2020-02-18,anupama,3,60000,2016,not joined,high fee,2020,2
137,hidden,westhill,hidden,hidden,social media,pg,mechanical,no_career_issue,work experience,data science,offline,morning,2020-11-10,sivaprasad,3,60000,2017,not joined,not okay,2020,11
138,hidden,westhill,hidden,hidden,social media,plus 2,other,no_career_issue,others,data science,offline,morning,2020-05-21,deepak,2,60000,2015,not joined,not okay,2020,5
139,hidden,tanur,hidden,hidden,google,ug,other,no_career_issue,it internship,mern,offline,morning,2020-02-03,baiju,1,12500,2018,not joined,not interested,2020,2
140,hidden,thrissur,hidden,hidden,social media,ug,mechanical,no_career_issue,short term course,data science,offline,afternoon,2020-04-08,baiju,4,12500,2020,not joined,call not picking,2020,4
141,hidden,vadakara,hidden,hidden,reference,ug,electronics,non it background,work experience,flutter,hybrid,afternoon,2020-01-08,deepak,1,60000,2019,not joined,high fee,2020,1
142,hidden,ernakulam,hidden,hidden,reference,ug,civil,career gap,it internship,python,hybrid,morning,2020-03-06,baiju,6,35000,2015,not joined,not interested,2020,3
143,hidden,ernakulam,hidden,hidden,social media,pg,computer science,no_career_issue,job oriented course,java,hybrid,afternoon,2020-02-12,baiju,1,12500,2015,not joined,not impressed,2020,2
144,hidden,malappuram,hidden,hidden,reference,pg,other,non it background,short term course,mern,offline,afternoon,2020-12-19,baiju,2,35000,2018,not joined,not okay,2020,12
145,hidden,palakkad,hidden,hidden,social media,pg,electronics,backpapers,others,python,offline,afternoon,2020-11-01,deepak,4,60000,2015,joined,not impressed,2020,11
146,hidden,medical college,hidden,hidden,others,ug,commerce,no_career_issue,short term course,mern,offline,morning,2020-08-18,lekha,2,12500,2020,not joined,joined other institude,2020,8
147,hidden,nadakkavu,hidden,hidden,social media,plus 2,computer science,non it background,others,web designing,online,morning,2020-03-25,lekha,1,60000,2020,not joined,high fee,2020,3
148,hidden,nadakkavu,hidden,hidden,social media,ug,computer science,non it background,others,python,offline,evening,2020-02-17,baiju,4,60000,2016,joined,not impressed,2020,2
149,hidden,ernakulam,hidden,hidden,google,ug,other,non it background,short term course,data science,offline,weekend,2020-07-09,anupama,1,60000,2017,not joined,not interested,2020,7
150,hidden,palazhi,hidden,hidden,others,pg,computer science,no_career_issue,short term course,ai,offline,morning,2020-02-09,baiju,1,60000,2020,joined,not impressed,2020,2
151,hidden,thrissur,hidden,hidden,google,pg,electronics,no_career_issue,short term course,mern,online,morning,2020-07-20,rifna,2,60000,2020,not joined,high fee,2020,7
152,hidden,manjeri,hidden,hidden,social media,ug,mechanical,no_career_issue,others,mern,online,morning,2020-01-12,baiju,2,60000,2019,not joined,high fee,2020,1
153,hidden,kozhikode,hidden,hidden,social media,ug,civil,no_career_issue,job oriented course,python,hybrid,morning,2020-01-08,baiju,2,12500,2017,not joined,suspected,2020,1
154,hidden,palazhi,hidden,hidden,social media,ug,other,no_career_issue,short term course,data science,hybrid,afternoon,2020-11-13,baiju,2,35000,2016,not joined,not okay,2020,11
155,hidden,wayanad,hidden,hidden,social media,ug,computer science,career gap,job oriented course,python,online,evening,2020-09-25,monish,1,60000,2018,not joined,call not picking,2020,9
156,hidden,tirur,hidden,hidden,social media,pg,mechanical,no_career_issue,work experience,data science,offline,morning,2020-02-15,baiju,1,60000,2017,joined,not impressed,2020,2
157,hidden,farook,hidden,hidden,others,sslc,mechanical,no_career_issue,short term course,python,offline,afternoon,2020-03-02,baiju,1,60000,2015,not joined,not okay,2020,3
158,hidden,kovoor,hidden,hidden,social media,pg,computer science,no_career_issue,job oriented course,data science,offline,morning,2020-02-21,sivaprasad,2,60000,2017,not joined,joined other institude,2020,2
159,hidden,farook,hidden,hidden,google,ug,electronics,no_career_issue,it internship,mern,offline,morning,2020-01-01,rifna,2,35000,2017,not joined,high fee,2020,1
160,hidden,farook,hidden,hidden,others,ug,other,no_career_issue,short term course,python,offline,morning,2020-02-05,deepak,2,12500,2016,not joined,suspected,2020,2
161,hidden,westhill,hidden,hidden,social media,plus 2,civil,no_career_issue,others,java,offline,morning,2020-12-27,sivaprasad,1,60000,2016,joined,not impressed,2020,12
162,hidden,manjeri,hidden,hidden,social media,ug,other,career gap,others,mern,offline,morning,2020-12-13,baiju,3,35000,2016,not joined,not impressed,2020,12
163,hidden,palazhi,hidden,hidden,social media,pg,electronics,no_career_issue,short term course,data science,offline,morning,2020-01-14,lekha,1,60000,2019,joined,not impressed,2020,1
164,hidden,chevayur,hidden,hidden,reference,ug,civil,no_career_issue,others,mern,offline,morning,2020-11-08,deepak,4,60000,2019,not joined,not okay,2020,11
165,hidden,beypore,hidden,hidden,social media,pg,computer science,backpapers,short term course,web designing,hybrid,afternoon,2020-03-11,baiju,3,60000,2016,not joined,not interested,2020,3
166,hidden,kottayam,hidden,hidden,google,ug,commerce,career gap,work experience,flutter,offline,morning,2020-04-24,rifna,2,60000,2017,not joined,not okay,2020,4
167,hidden,medical college,hidden,hidden,social media,ug,other,no_career_issue,others,mern,online,weekend,2020-11-17,baiju,2,60000,2019,joined,not impressed,2020,11
168,hidden,kozhikode,hidden,hidden,social media,ug,mechanical,no_career_issue,work experience,python,offline,morning,2020-11-10,deepak,2,60000,2015,joined,not impressed,2020,11
169,hidden,tirur,hidden,hidden,others,plus 2,civil,no_career_issue,others,java,hybrid,weekend,2020-01-03,monish,1,60000,2015,joined,not impressed,2020,1
170,hidden,kunnamangalam,hidden,hidden,social media,ug,commerce,career gap,others,ai,offline,morning,2020-04-04,anupama,1,12500,2016,not joined,joined other institude,2020,4
171,hidden,kozhikode,hidden,hidden,social media,ug,electronics,backpapers,work experience,java,hybrid,morning,2020-06-02,faisal,1,60000,2015,not joined,call not picking,2020,6
